Timestamp,Open,High,Low,Close,Volume,Datetime
1718323200,66765.0,66769.0,66764.0,66768.0,0.29274409,2024-06-14 00:00:00+00:00
1718323260,66784.0,66805.0,66784.0,66805.0,0.25668295,2024-06-14 00:01:00+00:00
1718323320,66819.0,66825.0,66818.0,66818.0,0.82095205,2024-06-14 00:02:00+00:00
1718323380,66844.0,66846.0,66839.0,66844.0,1.00578898,2024-06-14 00:03:00+00:00
1718323440,66832.0,66861.0,66828.0,66856.0,0.6021495,2024-06-14 00:04:00+00:00
1718323500,66853.0,66853.0,66801.0,66801.0,1.03657799,2024-06-14 00:05:00+00:00
1718323560,66795.0,66795.0,66783.0,66785.0,0.67406557,2024-06-14 00:06:00+00:00
1718323620,66780.0,66793.0,66780.0,66793.0,0.84454257,2024-06-14 00:07:00+00:00
1718323680,66794.0,66794.0,66792.0,66792.0,0.96352001,2024-06-14 00:08:00+00:00
1718323740,66785.0,66785.0,66754.0,66756.0,0.91885516,2024-06-14 00:09:00+00:00
1718323800,66736.0,66760.0,66713.0,66760.0,0.01534208,2024-06-14 00:10:00+00:00
1718323860,66769.0,66769.0,66769.0,66769.0,0.00089,2024-06-14 00:11:00+00:00
1718323920,66798.0,66801.0,66777.0,66787.0,0.36151391,2024-06-14 00:12:00+00:00
1718323980,66776.0,66790.0,66776.0,66786.0,0.0219396,2024-06-14 00:13:00+00:00
1718324040,66722.0,66728.0,66715.0,66728.0,0.27644607,2024-06-14 00:14:00+00:00
1718324100,66703.0,66745.0,66703.0,66712.0,0.00429911,2024-06-14 00:15:00+00:00
1718324160,66706.0,66706.0,66665.0,66698.0,0.1356229,2024-06-14 00:16:00+00:00
1718324220,66680.0,66681.0,66680.0,66681.0,0.00534476,2024-06-14 00:17:00+00:00
1718324280,66707.0,66718.0,66691.0,66691.0,0.04364858,2024-06-14 00:18:00+00:00
1718324340,66698.0,66698.0,66666.0,66666.0,0.00411438,2024-06-14 00:19:00+00:00
1718324400,66715.0,66716.0,66705.0,66705.0,0.08701855,2024-06-14 00:20:00+00:00
1718324460,66729.0,66729.0,66629.0,66650.0,1.04587833,2024-06-14 00:21:00+00:00
1718324520,66709.0,66709.0,66705.0,66709.0,0.02363315,2024-06-14 00:22:00+00:00
1718324580,66699.0,66699.0,66668.0,66688.0,0.1800813,2024-06-14 00:23:00+00:00
1718324640,66684.0,66704.0,66684.0,66689.0,0.13766709,2024-06-14 00:24:00+00:00
1718324700,66686.0,66686.0,66647.0,66656.0,0.14557762,2024-06-14 00:25:00+00:00
1718324760,66656.0,66656.0,66655.0,66655.0,0.08045929,2024-06-14 00:26:00+00:00
1718324820,66682.0,66763.0,66679.0,66763.0,0.10815608,2024-06-14 00:27:00+00:00
1718324880,66780.0,66791.0,66780.0,66789.0,6.5665707,2024-06-14 00:28:00+00:00
1718324940,66770.0,66770.0,66748.0,66755.0,0.11429523,2024-06-14 00:29:00+00:00
1718325000,66750.0,66754.0,66737.0,66750.0,0.19769311,2024-06-14 00:30:00+00:00
1718325060,66773.0,66773.0,66738.0,66738.0,0.02013615,2024-06-14 00:31:00+00:00
1718325120,66743.0,66759.0,66738.0,66751.0,0.07317025,2024-06-14 00:32:00+00:00
1718325180,66748.0,66748.0,66693.0,66693.0,0.23279645,2024-06-14 00:33:00+00:00
1718325240,66691.0,66722.0,66691.0,66713.0,0.01818833,2024-06-14 00:34:00+00:00
1718325300,66713.0,66740.0,66695.0,66740.0,0.71822292,2024-06-14 00:35:00+00:00
1718325360,66736.0,66739.0,66724.0,66724.0,0.3876,2024-06-14 00:36:00+00:00
1718325420,66715.0,66715.0,66702.0,66702.0,0.07904538,2024-06-14 00:37:00+00:00
1718325480,66703.0,66705.0,66651.0,66651.0,0.86861776,2024-06-14 00:38:00+00:00
1718325540,66638.0,66657.0,66608.0,66657.0,0.05241979,2024-06-14 00:39:00+00:00
1718325600,66678.0,66697.0,66660.0,66697.0,0.18210893,2024-06-14 00:40:00+00:00
1718325660,66690.0,66690.0,66682.0,66682.0,0.00622576,2024-06-14 00:41:00+00:00
1718325720,66704.0,66704.0,66680.0,66680.0,0.01488546,2024-06-14 00:42:00+00:00
1718325780,66679.0,66697.0,66678.0,66697.0,0.01106269,2024-06-14 00:43:00+00:00
1718325840,66695.0,66695.0,66665.0,66665.0,0.05704207,2024-06-14 00:44:00+00:00
1718325900,66655.0,66681.0,66637.0,66681.0,0.01336445,2024-06-14 00:45:00+00:00
1718325960,66676.0,66681.0,66655.0,66661.0,0.19201157,2024-06-14 00:46:00+00:00
1718326020,66665.0,66665.0,66657.0,66663.0,0.1766205,2024-06-14 00:47:00+00:00
1718326080,66659.0,66659.0,66634.0,66634.0,0.01802353,2024-06-14 00:48:00+00:00
1718326140,66635.0,66656.0,66615.0,66649.0,0.32340898,2024-06-14 00:49:00+00:00
1718326200,66649.0,66655.0,66601.0,66601.0,0.0330605,2024-06-14 00:50:00+00:00
1718326260,66601.0,66617.0,66583.0,66617.0,1.1880945,2024-06-14 00:51:00+00:00
1718326320,66624.0,66633.0,66624.0,66628.0,0.00300845,2024-06-14 00:52:00+00:00
1718326380,66624.0,66662.0,66608.0,66662.0,0.75674873,2024-06-14 00:53:00+00:00
1718326440,66674.0,66697.0,66664.0,66697.0,0.00830395,2024-06-14 00:54:00+00:00
1718326500,66688.0,66688.0,66665.0,66680.0,0.01991581,2024-06-14 00:55:00+00:00
1718326560,66700.0,66743.0,66693.0,66710.0,0.02527387,2024-06-14 00:56:00+00:00
1718326620,66708.0,66711.0,66693.0,66697.0,0.0297049,2024-06-14 00:57:00+00:00
1718326680,66693.0,66693.0,66672.0,66673.0,0.16494351,2024-06-14 00:58:00+00:00
1718326740,66680.0,66698.0,66669.0,66686.0,0.02972863,2024-06-14 00:59:00+00:00
1718326800,66683.0,66712.0,66672.0,66677.0,0.03927002,2024-06-14 01:00:00+00:00
1718326860,66680.0,66700.0,66670.0,66670.0,0.01655013,2024-06-14 01:01:00+00:00
1718326920,66648.0,66675.0,66642.0,66668.0,0.00662723,2024-06-14 01:02:00+00:00
1718326980,66653.0,66662.0,66625.0,66657.0,0.43375837,2024-06-14 01:03:00+00:00
1718327040,66653.0,66660.0,66638.0,66638.0,0.02302758,2024-06-14 01:04:00+00:00
1718327100,66627.0,66633.0,66603.0,66603.0,0.04593037,2024-06-14 01:05:00+00:00
1718327160,66600.0,66601.0,66579.0,66601.0,0.09403319,2024-06-14 01:06:00+00:00
1718327220,66564.0,66564.0,66519.0,66530.0,4.50193472,2024-06-14 01:07:00+00:00
1718327280,66549.0,66578.0,66530.0,66571.0,0.0288535,2024-06-14 01:08:00+00:00
1718327340,66583.0,66584.0,66546.0,66553.0,0.11447497,2024-06-14 01:09:00+00:00
1718327400,66542.0,66576.0,66530.0,66572.0,0.1253113,2024-06-14 01:10:00+00:00
1718327460,66581.0,66604.0,66579.0,66579.0,0.00911,2024-06-14 01:11:00+00:00
1718327520,66607.0,66657.0,66607.0,66657.0,0.0331911,2024-06-14 01:12:00+00:00
1718327580,66658.0,66702.0,66658.0,66695.0,0.05075595,2024-06-14 01:13:00+00:00
1718327640,66686.0,66710.0,66673.0,66688.0,0.10488923,2024-06-14 01:14:00+00:00
1718327700,66674.0,66725.0,66674.0,66701.0,0.01837369,2024-06-14 01:15:00+00:00
1718327760,66688.0,66703.0,66683.0,66697.0,0.01955571,2024-06-14 01:16:00+00:00
1718327820,66683.0,66692.0,66683.0,66688.0,0.00260165,2024-06-14 01:17:00+00:00
1718327880,66689.0,66707.0,66682.0,66698.0,0.01311444,2024-06-14 01:18:00+00:00
