Timestamp,Open,High,Low,Close,Volume,Datetime,mid_price,price_diff,log_return,rolling_stdev,sigma,delta_ask,delta_bid,kappa,A
1718323200,66765.0,66769.0,66764.0,66768.0,0.29274409,2024-06-14 00:00:00+00:00,66768.0,,,,,,,,
1718323260,66784.0,66805.0,66784.0,66805.0,0.25668295,2024-06-14 00:01:00+00:00,66805.0,37.0,0.000554004191660516,,,37.0,0.0,,
1718323320,66819.0,66825.0,66818.0,66818.0,0.82095205,2024-06-14 00:02:00+00:00,66818.0,13.0,0.0001945772814711373,,,20.0,0.0,,
1718323380,66844.0,66846.0,66839.0,66844.0,1.00578898,2024-06-14 00:03:00+00:00,66844.0,26.0,0.0003890410188077123,,,28.0,0.0,,
1718323440,66832.0,66861.0,66828.0,66856.0,0.6021495,2024-06-14 00:04:00+00:00,66856.0,12.0,0.00017950635799888278,,,17.0,16.0,,
1718323500,66853.0,66853.0,66801.0,66801.0,1.03657799,2024-06-14 00:05:00+00:00,66801.0,-55.0,-0.0008230022087050033,,,0.0,55.0,,
1718323560,66795.0,66795.0,66783.0,66785.0,0.67406557,2024-06-14 00:06:00+00:00,66785.0,-16.0,-0.00023954606136133386,,,0.0,18.0,,
1718323620,66780.0,66793.0,66780.0,66793.0,0.84454257,2024-06-14 00:07:00+00:00,66793.0,8.0,0.00011978020347003338,,,8.0,5.0,,
1718323680,66794.0,66794.0,66792.0,66792.0,0.96352001,2024-06-14 00:08:00+00:00,66792.0,-1.0,-1.4971740839468545e-05,,,1.0,1.0,,
1718323740,66785.0,66785.0,66754.0,66756.0,0.91885516,2024-06-14 00:09:00+00:00,66756.0,-36.0,-0.0005391320105429027,,,0.0,38.0,,
1718323800,66736.0,66760.0,66713.0,66760.0,0.01534208,2024-06-14 00:10:00+00:00,66760.0,4.0,5.991791247792252e-05,,,4.0,43.0,,
1718323860,66769.0,66769.0,66769.0,66769.0,0.00089,2024-06-14 00:11:00+00:00,66769.0,9.0,0.00013480217800822058,,,9.0,0.0,,
1718323920,66798.0,66801.0,66777.0,66787.0,0.36151391,2024-06-14 00:12:00+00:00,66787.0,18.0,0.0002695498533797155,,,32.0,0.0,,
