Timestamp,Open,High,Low,Close,Volume,Datetime,mid_price,price_diff,log_return,rolling_stdev,sigma,delta_ask,delta_bid,kappa,A
1722816000,58137.0,58193.0,58117.0,58175.0,0.25721683,2024-08-05 00:00:00+00:00,58175.0,,,,,,,,
1722816060,58207.0,58207.0,58100.0,58108.0,0.11522896,2024-08-05 00:01:00+00:00,58108.0,-67.0,-0.0011523611777182865,,,32.0,75.0,,
1722816120,58120.0,58186.0,58102.0,58186.0,0.48568745,2024-08-05 00:02:00+00:00,58186.0,78.0,0.0013414279618258404,,,78.0,6.0,,
1722816180,58186.0,58209.0,58170.0,58188.0,0.32006169,2024-08-05 00:03:00+00:00,58188.0,2.0,3.437193875261413e-05,,,23.0,16.0,,
1722816240,58182.0,58280.0,58152.0,58280.0,1.6919922,2024-08-05 00:04:00+00:00,58280.0,92.0,0.0015798334157884864,,,92.0,36.0,,
1722816300,58251.0,58267.0,58201.0,58201.0,1.01658333,2024-08-05 00:05:00+00:00,58201.0,-79.0,-0.001356444606638858,,,0.0,79.0,,
1722816360,58270.0,58270.0,58194.0,58194.0,0.12079777,2024-08-05 00:06:00+00:00,58194.0,-7.0,-0.00012028008090448472,,,69.0,7.0,,
1722816420,58170.0,58170.0,58040.0,58040.0,0.28122263,2024-08-05 00:07:00+00:00,58040.0,-154.0,-0.002649828623473657,,,0.0,154.0,,
1722816480,58023.0,58023.0,57931.0,57931.0,5.58995363,2024-08-05 00:08:00+00:00,57931.0,-109.0,-0.0018797808434289289,,,0.0,109.0,,
1722816540,57924.0,57927.0,57766.0,57766.0,4.19247649,2024-08-05 00:09:00+00:00,57766.0,-165.0,-0.0028522798666018685,,,0.0,165.0,,
1722816600,57774.0,57844.0,57774.0,57807.0,0.10400023,2024-08-05 00:10:00+00:00,57807.0,41.0,0.0007095083059185307,,,78.0,0.0,,
1722816660,57857.0,57857.0,57694.0,57722.0,0.56486287,2024-08-05 00:11:00+00:00,57722.0,-85.0,-0.0014714922718532567,,,50.0,113.0,,
1722816720,57698.0,57720.0,57628.0,57644.0,21.51277404,2024-08-05 00:12:00+00:00,57644.0,-78.0,-0.001352218363906465,,,0.0,94.0,,
1722816780,57643.0,57643.0,57536.0,57550.0,5.1976564,2024-08-05 00:13:00+00:00,57550.0,-94.0,-0.0016320298082235186,,,0.0,108.0,,
1722816840,57529.0,57538.0,57488.0,57505.0,0.03823836,2024-08-05 00:14:00+00:00,57505.0,-45.0,-0.000782234623346937,,,0.0,62.0,,
1722816900,57447.0,57845.0,57419.0,57845.0,17.93389585,2024-08-05 00:15:00+00:00,57845.0,340.0,0.005895118936307607,,,340.0,86.0,,
1722816960,57808.0,58028.0,57808.0,57972.0,51.0928934,2024-08-05 00:16:00+00:00,57972.0,127.0,0.0021931158794177797,,,183.0,37.0,,
1722817020,58028.0,58217.0,58028.0,58217.0,6.94340002,2024-08-05 00:17:00+00:00,58217.0,245.0,0.004217272945257969,,,245.0,0.0,,
1722817080,58111.0,58111.0,57786.0,57799.0,2.89683161,2024-08-05 00:18:00+00:00,57799.0,-418.0,-0.007205933814923147,,,0.0,431.0,,
1722817140,57836.0,57927.0,57834.0,57880.0,1.2242937,2024-08-05 00:19:00+00:00,57880.0,81.0,0.001400427272678292,,,128.0,0.0,,
1722817200,57871.0,57871.0,57744.0,57819.0,0.65002469,2024-08-05 00:20:00+00:00,57819.0,-61.0,-0.0010544603782589703,,,0.0,136.0,,
1722817260,57797.0,57890.0,57797.0,57870.0,0.60189636,2024-08-05 00:21:00+00:00,57870.0,51.0,0.0008816742007231927,,,71.0,22.0,,
1722817320,57845.0,57845.0,57668.0,57668.0,0.04750964,2024-08-05 00:22:00+00:00,57668.0,-202.0,-0.0034966886360900786,,,0.0,202.0,,
